date,volume
2003-02-19,1593400
2003-02-20,919000
2003-02-21,1477800
2003-02-24,1714200
2003-02-25,2157800
2003-02-26,1944800
2003-02-27,3013800
2003-02-28,1499400
2003-03-03,1855200
2003-03-04,805400
2003-03-05,871000
2003-03-06,839800
2003-03-07,921800
2003-03-10,1753600
2003-03-11,2733400
2003-03-12,3408400
2003-03-13,3154400
2003-03-14,3225800
2003-03-17,2960800
2003-03-18,2243600
2003-03-19,4530000
2003-03-20,2881200
2003-03-21,2402000
2003-03-24,1440200
2003-03-25,977600
2003-03-26,1373400
2003-03-27,1025400
2003-03-28,1096800
2003-03-31,1050200
2003-04-01,1370200
2003-04-02,3194400
2003-04-03,3969600
2003-04-04,2750400
2003-04-07,4140600
2003-04-08,1560600
2003-04-09,3197200
2003-04-10,3239400
2003-04-11,2794400
2003-04-14,1007400
2003-04-15,1476000
2003-04-16,1237600
2003-04-17,1113200
2003-04-21,978200
2003-04-22,2042800
2003-04-23,4893200
2003-04-24,5567800
2003-04-25,3341400
2003-04-28,2666600
2003-04-29,3350400
2003-04-30,6754200
2003-05-01,7541600
2003-05-02,7070000
2003-05-05,13739400
2003-05-06,12340400
2003-05-07,5005800
2003-05-08,3532400
2003-05-09,2487000
2003-05-12,2685600
2003-05-13,2987400
2003-05-14,1633400
2003-05-15,2827800
2003-05-16,3141600
2003-05-19,5304200
2003-05-20,4148600
2003-05-21,3806000
2003-05-22,3440600
2003-05-23,2660200
2003-05-27,1464800
2003-05-28,1243000
2003-05-29,1379000
2003-05-30,1685800
2003-06-02,2676200
2003-06-03,2007200
2003-06-04,2026600
2003-06-05,5426800
2003-06-06,4610400
2003-06-09,1592400
2003-06-10,1555600
2003-06-11,1756400
2003-06-12,1539200
2003-06-13,1187800
2003-06-16,1696200
2003-06-17,4112400
2003-06-18,3287000
2003-06-19,2836000
2003-06-20,3429400
2003-06-23,3224600
2003-06-24,1658200
2003-06-25,1814600
2003-06-26,1737000
2003-06-27,1659400
2003-06-30,2730400
2003-07-01,2951800
2003-07-02,3068600
2003-07-03,2388200
2003-07-07,5705000
2003-07-08,10780400
2003-07-09,17033600
2003-07-10,5455400
2003-07-11,3750200
2003-07-14,3113000
2003-07-15,5465600
2003-07-16,3536600
2003-07-17,3152600
2003-07-18,1799600
2003-07-21,1099000
2003-07-22,1676400
2003-07-23,1959400
2003-07-24,2733800
2003-07-25,1307200
2003-07-28,1960000
2003-07-29,2453200
2003-07-30,1898400
2003-07-31,2036000
2003-08-01,1799000
2003-08-04,1541000
2003-08-05,1466000
2003-08-06,2798000
2003-08-07,2832400
2003-08-08,1547400
2003-08-11,761400
2003-08-12,2519200
2003-08-13,7012600
2003-08-14,3472400
2003-08-15,1365000
2003-08-18,1986200
2003-08-19,2585800
2003-08-20,1742800
2003-08-21,3640800
2003-08-22,3285600
2003-08-25,1480200
2003-08-26,3563400
2003-08-27,4660600
2003-08-28,3777600
2003-08-29,2285400
2003-09-02,6492800
2003-09-03,6050600
2003-09-04,3638000
2003-09-05,5816600
2003-09-08,3834200
2003-09-09,2083400
2003-09-10,1801800
2003-09-11,1813600
2003-09-12,922400
2003-09-15,1564600
2003-09-16,1187000
2003-09-17,1070400
2003-09-18,1635600
2003-09-19,1257400
2003-09-22,1093400
2003-09-23,1765800
2003-09-24,1479000
2003-09-25,2327400
2003-09-26,1521600
2003-09-29,863600
2003-09-30,1698800
2003-10-01,1849000
2003-10-02,5576800
2003-10-03,5880200
2003-10-06,1989200
2003-10-07,2589400
2003-10-08,1351800
2003-10-09,2707000
2003-10-10,2140000
2003-10-13,2757600
2003-10-14,2514000
2003-10-15,2585600
2003-10-16,1775200
2003-10-17,3195000
2003-10-20,1492200
2003-10-21,3420400
2003-10-22,3522000
2003-10-23,9203400
2003-10-24,3189400
2003-10-27,2214800
2003-10-28,1363000
2003-10-29,2449200
2003-10-30,3274000
2003-10-31,3650000
2003-11-03,2168200
2003-11-04,4840800
2003-11-05,4296600
2003-11-06,6499800
2003-11-07,10129000
2003-11-10,5047800
2003-11-11,5546800
2003-11-12,3250000
2003-11-13,5030200
2003-11-14,4607200
2003-11-17,2040400
2003-11-18,1687600
2003-11-19,7044000
2003-11-20,5101000
2003-11-21,3195800
2003-11-24,1922000
2003-11-25,2925600
2003-11-26,1848800
2003-11-28,765600
2003-12-01,2016400
2003-12-02,3082000
2003-12-03,3148600
2003-12-04,1630000
2003-12-05,1752200
2003-12-08,2179800
2003-12-09,1888800
2003-12-10,1835400
2003-12-11,1281000
2003-12-12,1918400
2003-12-15,1589000
2003-12-16,3403800
2003-12-17,4056000
2003-12-18,3361600
2003-12-19,2042400
2003-12-22,1690200
2003-12-23,944200
2003-12-24,316800
2003-12-26,178200
2003-12-29,2792200
2003-12-30,1204800
2003-12-31,909000
2004-01-02,1214000
2004-01-05,2398400
2004-01-06,1565400
2004-01-07,2452000
2004-01-08,2527400
2004-01-09,1828400
2004-01-12,1797000
2004-01-13,1625400
2004-01-14,2087600
2004-01-15,2226400
2004-01-16,1809400
2004-01-20,1419000
2004-01-21,2562600
2004-01-22,4410600
2004-01-23,3980200
2004-01-26,1913400
2004-01-27,1592000
2004-01-28,4890400
2004-01-29,4347600
2004-01-30,2660200
2004-02-02,2131800
2004-02-03,1177800
2004-02-04,2568000
2004-02-05,1156000
2004-02-06,1320000
2004-02-09,1585600
2004-02-10,1499600
2004-02-11,2310000
2004-02-12,3650200
2004-02-13,1169200
2004-02-17,989200
2004-02-18,1091200
2004-02-19,1590200
2004-02-20,902800
2004-02-23,1208400
2004-02-24,734400
2004-02-25,2144600
2004-02-26,1150200
2004-02-27,2000200
2004-03-01,1980400
2004-03-02,1864400
2004-03-03,2431200
2004-03-04,4433800
2004-03-05,2840600
2004-03-08,2576600
2004-03-09,6384000
2004-03-10,4245200
2004-03-11,3232600
2004-03-12,2168400
2004-03-15,2113600
2004-03-16,2343200
2004-03-17,1957000
2004-03-18,2281600
2004-03-19,1996600
2004-03-22,1844800
2004-03-23,1460400
2004-03-24,2026200
2004-03-25,2243800
2004-03-26,1670200
2004-03-29,1820400
2004-03-30,1766400
2004-03-31,2044800
2004-04-01,3019400
2004-04-02,2117000
2004-04-05,2010000
2004-04-06,1143800
2004-04-07,1704800
2004-04-08,1221400
2004-04-12,676400
2004-04-13,797000
2004-04-14,1439200
2004-04-15,2948800
2004-04-16,3101000
2004-04-19,1211200
2004-04-20,2239600
2004-04-21,1752600
2004-04-22,3147800
2004-04-23,999600
2004-04-26,2652400
2004-04-27,1265600
2004-04-28,2652000
2004-04-29,6742600
2004-04-30,2868400
2004-05-03,2422600
2004-05-04,1768800
2004-05-05,2530000
2004-05-06,2232000
2004-05-07,1576600
2004-05-10,1566200
2004-05-11,1156000
2004-05-12,1762400
2004-05-13,2026800
2004-05-14,1828000
2004-05-17,1952000
2004-05-18,2392200
2004-05-19,1962000
2004-05-20,1902000
2004-05-21,1781400
2004-05-24,2538600
2004-05-25,2313400
2004-05-26,1547600
2004-05-27,1404200
2004-05-28,1171200
2004-06-01,1240000
2004-06-02,1466000
2004-06-03,953600
2004-06-04,1989800
2004-06-07,2258200
2004-06-08,2169600
2004-06-09,1512400
2004-06-10,931400
2004-06-14,2464200
2004-06-15,1637400
2004-06-16,1060400
2004-06-17,1135600
2004-06-18,1615200
2004-06-21,841400
2004-06-22,1068600
2004-06-23,1357000
2004-06-24,2721600
2004-06-25,3651200
2004-06-28,2664800
2004-06-29,3902800
2004-06-30,2539200
2004-07-01,3106800
2004-07-02,2503600
2004-07-06,1248000
2004-07-07,2520000
2004-07-08,1624600
2004-07-09,2099800
2004-07-12,2854200
2004-07-13,1593800
2004-07-14,5943200
2004-07-15,2765200
2004-07-16,2982400
2004-07-19,4428600
2004-07-20,4471800
2004-07-21,2865200
2004-07-22,4567200
2004-07-23,3309600
2004-07-26,3249400
2004-07-27,2666200
2004-07-28,2165200
2004-07-29,2227400
2004-07-30,2103400
2004-08-02,1630800
2004-08-03,1480600
2004-08-04,1994800
2004-08-05,1737400
2004-08-06,1275800
2004-08-09,1900600
2004-08-10,1654000
2004-08-11,2484600
2004-08-12,3534400
2004-08-13,2158400
2004-08-16,2012000
2004-08-17,4883000
2004-08-18,2281600
2004-08-19,1934800
2004-08-20,1603400
2004-08-23,2383200
2004-08-24,1760800
2004-08-25,1829800
2004-08-26,1501800
2004-08-27,1949800
2004-08-30,1379400
2004-08-31,2798200
2004-09-01,2619400
2004-09-02,2787800
2004-09-03,2325600
2004-09-07,2876600
2004-09-08,2119400
2004-09-09,25345400
2004-09-10,13925800
2004-09-13,22496800
2004-09-14,4972600
2004-09-15,3108200
2004-09-16,1277000
2004-09-17,1311400
2004-09-20,1574200
2004-09-21,2721600
2004-09-22,2955600
2004-09-23,2084200
2004-09-24,714800
2004-09-27,967400
2004-09-28,2900800
2004-09-29,2921600
2004-09-30,2424000
2004-10-01,3266400
2004-10-04,3327000
2004-10-05,2288400
2004-10-06,6014600
2004-10-07,7749000
2004-10-08,4229600
2004-10-11,1409600
2004-10-12,2845000
2004-10-13,2648600
2004-10-14,3193600
2004-10-15,2702800
2004-10-18,3115400
2004-10-19,3075200
2004-10-20,3240600
2004-10-21,4104800
2004-10-22,1774600
2004-10-25,1942600
2004-10-26,1432800
2004-10-27,2386000
2004-10-28,1643200
2004-10-29,2546000
2004-11-01,2023600
2004-11-02,2609800
2004-11-03,3145200
2004-11-04,1878400
2004-11-05,2485600
2004-11-08,2168200
2004-11-09,1557800
2004-11-10,1497400
2004-11-11,938200
2004-11-12,1035400
2004-11-15,1212400
2004-11-16,668200
2004-11-17,1454200
2004-11-18,22969200
2004-11-19,17275400
2004-11-22,5596600
2004-11-23,3015600
2004-11-24,5297200
2004-11-26,1030800
2004-11-29,3110400
2004-11-30,2077600
2004-12-01,2545200
2004-12-02,1555200
2004-12-03,3374400
2004-12-06,2248000
2004-12-07,1971600
2004-12-08,3901400
2004-12-09,2029800
2004-12-10,6704200
2004-12-13,2304400
2004-12-14,2037000
2004-12-15,3258800
2004-12-16,2655800
2004-12-17,12208600
2004-12-20,3164200
2004-12-21,5325000
2004-12-22,5738600
2004-12-23,3588400
2004-12-27,3065400
2004-12-28,1170400
2004-12-29,2441200
2004-12-30,1734200
2004-12-31,845600
2005-01-03,2433600
2005-01-04,3693400
2005-01-05,1412400
2005-01-06,1651600
2005-01-07,1963200
2005-01-10,2975000
2005-01-11,1789200
2005-01-12,2250400
2005-01-13,2094000
2005-01-14,1732800
2005-01-18,1515400
2005-01-19,1251600
2005-01-20,1655600
2005-01-21,1661800
2005-01-24,1929800
2005-01-25,2228000
2005-01-26,2491000
2005-01-27,7450800
2005-01-28,4861000
2005-01-31,1426600
2005-02-01,2409200
2005-02-02,2455800
2005-02-03,1445400
2005-02-04,1173200
2005-02-07,1092800
2005-02-08,1315200
2005-02-09,3183200
2005-02-10,1406800
2005-02-11,1133600
2005-02-14,755600
2005-02-15,2549600
2005-02-16,1678000
2005-02-17,1843400
2005-02-18,2954400
2005-02-22,3478800
2005-02-23,2082800
2005-02-24,1519000
2005-02-25,1383400
2005-02-28,2844400
2005-03-01,1136600
2005-03-02,5400800
2005-03-03,5447200
2005-03-04,2256000
2005-03-07,1385800
2005-03-08,786800
2005-03-09,1368600
2005-03-10,1205200
2005-03-11,2373000
2005-03-14,1328600
2005-03-15,1859200
2005-03-16,1232200
2005-03-17,977600
2005-03-18,1725800
2005-03-21,1316200
2005-03-22,1871200
2005-03-23,4308000
2005-03-24,3295800
2005-03-28,1461200
2005-03-29,2535200
2005-03-30,3079200
2005-03-31,1438000
2005-04-01,1949200
2005-04-04,1621800
2005-04-05,2685400
2005-04-06,1425400
2005-04-07,1064400
2005-04-08,924000
2005-04-11,1613200
